Symbol,longName,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,PS_ratio,company,SP500,view_x,share_x,margin exp.,earnings,rating,rating_sortable,ask_grok,stock_analysis_link,PS_adj_prior_run,change_in_PS_adj
A,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,Yes,https://x.com/search?q=%24A&src=typed_query&f=top,https://x.com/intent/post?text=Check%20out%20%24A%20unknown%20%28Rating%3A%20%29%20%40%20https%3A//algo10.com/,,,,0,https://www.google.com/search?q=For%20%24A%20%28unknown%29%20I%20want%20it%20to%20format%20the%20output%20with%206%20basic%20checks.%201%29%20Verify%20PS_adj%20%280%29%20is%20correct%20by%20checking%20Revenue%20Growth%20%280%25%29%2C%20Gross%20Margin%20%25%20%280%25%29%2C%20and%20Price%20to%20Sales%20%280%29.%20Note%20that%20PS_adj%20%3D%20PS%20%2A%20%281%20-%20GM%25%29%20%2A%20%281%20-%20YoYRev%25growth%29.%202%29%20Check%20sequential%20Quarter%20over%20Quarter%20growth%20to%20see%20if%20there%20is%20any%20slippage%20occurring%20in%20the%20near%20term.%203%29%20Check%20the%20Rule%20of%2040%3A%20Revenue%20Growth%20%2B%20Operating%20Margin%20should%20be%20above%2040.%204%29%20Check%20P/FCF%20%28Price%20to%20Free%20Cash%20Flow%29%20and%20compare%20to%20others%20in%20its%20peer%20group%20in%20the%20unknown%20industry.%205%29%20Check%20Insider%20Sales%20or%20Purchases%3A%20are%20insiders%20buying%20or%20selling%3F%206%29%20Check%20EV/Sales%20ratio%20and%20compare%20to%20Price%20to%20Sales%20ratio%20%280%29%20to%20see%20if%20massively%20different%2C%20which%20could%20indicate%20high%20debt.,https://stockanalysis.com/stocks/A/revenue,2.22,-2.22
AA,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,No,https://x.com/search?q=%24AA&src=typed_query&f=top,https://x.com/intent/post?text=Check%20out%20%24AA%20unknown%20%28Rating%3A%20%29%20%40%20https%3A//algo10.com/,,,,0,https://www.google.com/search?q=For%20%24AA%20%28unknown%29%20I%20want%20it%20to%20format%20the%20output%20with%206%20basic%20checks.%201%29%20Verify%20PS_adj%20%280%29%20is%20correct%20by%20checking%20Revenue%20Growth%20%280%25%29%2C%20Gross%20Margin%20%25%20%280%25%29%2C%20and%20Price%20to%20Sales%20%280%29.%20Note%20that%20PS_adj%20%3D%20PS%20%2A%20%281%20-%20GM%25%29%20%2A%20%281%20-%20YoYRev%25growth%29.%202%29%20Check%20sequential%20Quarter%20over%20Quarter%20growth%20to%20see%20if%20there%20is%20any%20slippage%20occurring%20in%20the%20near%20term.%203%29%20Check%20the%20Rule%20of%2040%3A%20Revenue%20Growth%20%2B%20Operating%20Margin%20should%20be%20above%2040.%204%29%20Check%20P/FCF%20%28Price%20to%20Free%20Cash%20Flow%29%20and%20compare%20to%20others%20in%20its%20peer%20group%20in%20the%20unknown%20industry.%205%29%20Check%20Insider%20Sales%20or%20Purchases%3A%20are%20insiders%20buying%20or%20selling%3F%206%29%20Check%20EV/Sales%20ratio%20and%20compare%20to%20Price%20to%20Sales%20ratio%20%280%29%20to%20see%20if%20massively%20different%2C%20which%20could%20indicate%20high%20debt.,https://stockanalysis.com/stocks/AA/revenue,1.04,-1.04
AADX,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,No,https://x.com/search?q=%24AADX&src=typed_query&f=top,https://x.com/intent/post?text=Check%20out%20%24AADX%20unknown%20%28Rating%3A%20%29%20%40%20https%3A//algo10.com/,,,,0,https://www.google.com/search?q=For%20%24AADX%20%28unknown%29%20I%20want%20it%20to%20format%20the%20output%20with%206%20basic%20checks.%201%29%20Verify%20PS_adj%20%280%29%20is%20correct%20by%20checking%20Revenue%20Growth%20%280%25%29%2C%20Gross%20Margin%20%25%20%280%25%29%2C%20and%20Price%20to%20Sales%20%280%29.%20Note%20that%20PS_adj%20%3D%20PS%20%2A%20%281%20-%20GM%25%29%20%2A%20%281%20-%20YoYRev%25growth%29.%202%29%20Check%20sequential%20Quarter%20over%20Quarter%20growth%20to%20see%20if%20there%20is%20any%20slippage%20occurring%20in%20the%20near%20term.%203%29%20Check%20the%20Rule%20of%2040%3A%20Revenue%20Growth%20%2B%20Operating%20Margin%20should%20be%20above%2040.%204%29%20Check%20P/FCF%20%28Price%20to%20Free%20Cash%20Flow%29%20and%20compare%20to%20others%20in%20its%20peer%20group%20in%20the%20unknown%20industry.%205%29%20Check%20Insider%20Sales%20or%20Purchases%3A%20are%20insiders%20buying%20or%20selling%3F%206%29%20Check%20EV/Sales%20ratio%20and%20compare%20to%20Price%20to%20Sales%20ratio%20%280%29%20to%20see%20if%20massively%20different%2C%20which%20could%20indicate%20high%20debt.,https://stockanalysis.com/stocks/AADX/revenue,0.0,0.0
AAL,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,No,https://x.com/search?q=%24AAL&src=typed_query&f=top,https://x.com/intent/post?text=Check%20out%20%24AAL%20unknown%20%28Rating%3A%20%29%20%40%20https%3A//algo10.com/,,,,0,https://www.google.com/search?q=For%20%24AAL%20%28unknown%29%20I%20want%20it%20to%20format%20the%20output%20with%206%20basic%20checks.%201%29%20Verify%20PS_adj%20%280%29%20is%20correct%20by%20checking%20Revenue%20Growth%20%280%25%29%2C%20Gross%20Margin%20%25%20%280%25%29%2C%20and%20Price%20to%20Sales%20%280%29.%20Note%20that%20PS_adj%20%3D%20PS%20%2A%20%281%20-%20GM%25%29%20%2A%20%281%20-%20YoYRev%25growth%29.%202%29%20Check%20sequential%20Quarter%20over%20Quarter%20growth%20to%20see%20if%20there%20is%20any%20slippage%20occurring%20in%20the%20near%20term.%203%29%20Check%20the%20Rule%20of%2040%3A%20Revenue%20Growth%20%2B%20Operating%20Margin%20should%20be%20above%2040.%204%29%20Check%20P/FCF%20%28Price%20to%20Free%20Cash%20Flow%29%20and%20compare%20to%20others%20in%20its%20peer%20group%20in%20the%20unknown%20industry.%205%29%20Check%20Insider%20Sales%20or%20Purchases%3A%20are%20insiders%20buying%20or%20selling%3F%206%29%20Check%20EV/Sales%20ratio%20and%20compare%20to%20Price%20to%20Sales%20ratio%20%280%29%20to%20see%20if%20massively%20different%2C%20which%20could%20indicate%20high%20debt.,https://stockanalysis.com/stocks/AAL/revenue,0.15,-0.15
AAMI,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,No,https://x.com/search?q=%24AAMI&src=typed_query&f=top,https://x.com/intent/post?text=Check%20out%20%24AAMI%20unknown%20%28Rating%3A%20%29%20%40%20https%3A//algo10.com/,,,,0,https://www.google.com/search?q=For%20%24AAMI%20%28unknown%29%20I%20want%20it%20to%20format%20the%20output%20with%206%20basic%20checks.%201%29%20Verify%20PS_adj%20%280%29%20is%20correct%20by%20checking%20Revenue%20Growth%20%280%25%29%2C%20Gross%20Margin%20%25%20%280%25%29%2C%20and%20Price%20to%20Sales%20%280%29.%20Note%20that%20PS_adj%20%3D%20PS%20%2A%20%281%20-%20GM%25%29%20%2A%20%281%20-%20YoYRev%25growth%29.%202%29%20Check%20sequential%20Quarter%20over%20Quarter%20growth%20to%20see%20if%20there%20is%20any%20slippage%20occurring%20in%20the%20near%20term.%203%29%20Check%20the%20Rule%20of%2040%3A%20Revenue%20Growth%20%2B%20Operating%20Margin%20should%20be%20above%2040.%204%29%20Check%20P/FCF%20%28Price%20to%20Free%20Cash%20Flow%29%20and%20compare%20to%20others%20in%20its%20peer%20group%20in%20the%20unknown%20industry.%205%29%20Check%20Insider%20Sales%20or%20Purchases%3A%20are%20insiders%20buying%20or%20selling%3F%206%29%20Check%20EV/Sales%20ratio%20and%20compare%20to%20Price%20to%20Sales%20ratio%20%280%29%20to%20see%20if%20massively%20different%2C%20which%20could%20indicate%20high%20debt.,https://stockanalysis.com/stocks/AAMI/revenue,1.53,-1.53
AAOI,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,No,https://x.com/search?q=%24AAOI&src=typed_query&f=top,https://x.com/intent/post?text=Check%20out%20%24AAOI%20unknown%20%28Rating%3A%20%29%20%40%20https%3A//algo10.com/,,,,0,https://www.google.com/search?q=For%20%24AAOI%20%28unknown%29%20I%20want%20it%20to%20format%20the%20output%20with%206%20basic%20checks.%201%29%20Verify%20PS_adj%20%280%29%20is%20correct%20by%20checking%20Revenue%20Growth%20%280%25%29%2C%20Gross%20Margin%20%25%20%280%25%29%2C%20and%20Price%20to%20Sales%20%280%29.%20Note%20that%20PS_adj%20%3D%20PS%20%2A%20%281%20-%20GM%25%29%20%2A%20%281%20-%20YoYRev%25growth%29.%202%29%20Check%20sequential%20Quarter%20over%20Quarter%20growth%20to%20see%20if%20there%20is%20any%20slippage%20occurring%20in%20the%20near%20term.%203%29%20Check%20the%20Rule%20of%2040%3A%20Revenue%20Growth%20%2B%20Operating%20Margin%20should%20be%20above%2040.%204%29%20Check%20P/FCF%20%28Price%20to%20Free%20Cash%20Flow%29%20and%20compare%20to%20others%20in%20its%20peer%20group%20in%20the%20unknown%20industry.%205%29%20Check%20Insider%20Sales%20or%20Purchases%3A%20are%20insiders%20buying%20or%20selling%3F%206%29%20Check%20EV/Sales%20ratio%20and%20compare%20to%20Price%20to%20Sales%20ratio%20%280%29%20to%20see%20if%20massively%20different%2C%20which%20could%20indicate%20high%20debt.,https://stockanalysis.com/stocks/AAOI/revenue,7.52,-7.52
AAON,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,No,https://x.com/search?q=%24AAON&src=typed_query&f=top,https://x.com/intent/post?text=Check%20out%20%24AAON%20unknown%20%28Rating%3A%20%29%20%40%20https%3A//algo10.com/,,,,0,https://www.google.com/search?q=For%20%24AAON%20%28unknown%29%20I%20want%20it%20to%20format%20the%20output%20with%206%20basic%20checks.%201%29%20Verify%20PS_adj%20%280%29%20is%20correct%20by%20checking%20Revenue%20Growth%20%280%25%29%2C%20Gross%20Margin%20%25%20%280%25%29%2C%20and%20Price%20to%20Sales%20%280%29.%20Note%20that%20PS_adj%20%3D%20PS%20%2A%20%281%20-%20GM%25%29%20%2A%20%281%20-%20YoYRev%25growth%29.%202%29%20Check%20sequential%20Quarter%20over%20Quarter%20growth%20to%20see%20if%20there%20is%20any%20slippage%20occurring%20in%20the%20near%20term.%203%29%20Check%20the%20Rule%20of%2040%3A%20Revenue%20Growth%20%2B%20Operating%20Margin%20should%20be%20above%2040.%204%29%20Check%20P/FCF%20%28Price%20to%20Free%20Cash%20Flow%29%20and%20compare%20to%20others%20in%20its%20peer%20group%20in%20the%20unknown%20industry.%205%29%20Check%20Insider%20Sales%20or%20Purchases%3A%20are%20insiders%20buying%20or%20selling%3F%206%29%20Check%20EV/Sales%20ratio%20and%20compare%20to%20Price%20to%20Sales%20ratio%20%280%29%20to%20see%20if%20massively%20different%2C%20which%20could%20indicate%20high%20debt.,https://stockanalysis.com/stocks/AAON/revenue,1.99,-1.99
AAP,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,No,https://x.com/search?q=%24AAP&src=typed_query&f=top,https://x.com/intent/post?text=Check%20out%20%24AAP%20unknown%20%28Rating%3A%20%29%20%40%20https%3A//algo10.com/,,,,0,https://www.google.com/search?q=For%20%24AAP%20%28unknown%29%20I%20want%20it%20to%20format%20the%20output%20with%206%20basic%20checks.%201%29%20Verify%20PS_adj%20%280%29%20is%20correct%20by%20checking%20Revenue%20Growth%20%280%25%29%2C%20Gross%20Margin%20%25%20%280%25%29%2C%20and%20Price%20to%20Sales%20%280%29.%20Note%20that%20PS_adj%20%3D%20PS%20%2A%20%281%20-%20GM%25%29%20%2A%20%281%20-%20YoYRev%25growth%29.%202%29%20Check%20sequential%20Quarter%20over%20Quarter%20growth%20to%20see%20if%20there%20is%20any%20slippage%20occurring%20in%20the%20near%20term.%203%29%20Check%20the%20Rule%20of%2040%3A%20Revenue%20Growth%20%2B%20Operating%20Margin%20should%20be%20above%2040.%204%29%20Check%20P/FCF%20%28Price%20to%20Free%20Cash%20Flow%29%20and%20compare%20to%20others%20in%20its%20peer%20group%20in%20the%20unknown%20industry.%205%29%20Check%20Insider%20Sales%20or%20Purchases%3A%20are%20insiders%20buying%20or%20selling%3F%206%29%20Check%20EV/Sales%20ratio%20and%20compare%20to%20Price%20to%20Sales%20ratio%20%280%29%20to%20see%20if%20massively%20different%2C%20which%20could%20indicate%20high%20debt.,https://stockanalysis.com/stocks/AAP/revenue,0.24,-0.24
AAPG,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,No,https://x.com/search?q=%24AAPG&src=typed_query&f=top,https://x.com/intent/post?text=Check%20out%20%24AAPG%20unknown%20%28Rating%3A%20%29%20%40%20https%3A//algo10.com/,,,,0,https://www.google.com/search?q=For%20%24AAPG%20%28unknown%29%20I%20want%20it%20to%20format%20the%20output%20with%206%20basic%20checks.%201%29%20Verify%20PS_adj%20%280%29%20is%20correct%20by%20checking%20Revenue%20Growth%20%280%25%29%2C%20Gross%20Margin%20%25%20%280%25%29%2C%20and%20Price%20to%20Sales%20%280%29.%20Note%20that%20PS_adj%20%3D%20PS%20%2A%20%281%20-%20GM%25%29%20%2A%20%281%20-%20YoYRev%25growth%29.%202%29%20Check%20sequential%20Quarter%20over%20Quarter%20growth%20to%20see%20if%20there%20is%20any%20slippage%20occurring%20in%20the%20near%20term.%203%29%20Check%20the%20Rule%20of%2040%3A%20Revenue%20Growth%20%2B%20Operating%20Margin%20should%20be%20above%2040.%204%29%20Check%20P/FCF%20%28Price%20to%20Free%20Cash%20Flow%29%20and%20compare%20to%20others%20in%20its%20peer%20group%20in%20the%20unknown%20industry.%205%29%20Check%20Insider%20Sales%20or%20Purchases%3A%20are%20insiders%20buying%20or%20selling%3F%206%29%20Check%20EV/Sales%20ratio%20and%20compare%20to%20Price%20to%20Sales%20ratio%20%280%29%20to%20see%20if%20massively%20different%2C%20which%20could%20indicate%20high%20debt.,https://stockanalysis.com/stocks/AAPG/revenue,-0.04,0.04
AAPL,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,Yes,https://x.com/search?q=%24AAPL&src=typed_query&f=top,https://x.com/intent/post?text=Check%20out%20%24AAPL%20unknown%20%28Rating%3A%20%29%20%40%20https%3A//algo10.com/,,,,0,https://www.google.com/search?q=For%20%24AAPL%20%28unknown%29%20I%20want%20it%20to%20format%20the%20output%20with%206%20basic%20checks.%201%29%20Verify%20PS_adj%20%280%29%20is%20correct%20by%20checking%20Revenue%20Growth%20%280%25%29%2C%20Gross%20Margin%20%25%20%280%25%29%2C%20and%20Price%20to%20Sales%20%280%29.%20Note%20that%20PS_adj%20%3D%20PS%20%2A%20%281%20-%20GM%25%29%20%2A%20%281%20-%20YoYRev%25growth%29.%202%29%20Check%20sequential%20Quarter%20over%20Quarter%20growth%20to%20see%20if%20there%20is%20any%20slippage%20occurring%20in%20the%20near%20term.%203%29%20Check%20the%20Rule%20of%2040%3A%20Revenue%20Growth%20%2B%20Operating%20Margin%20should%20be%20above%2040.%204%29%20Check%20P/FCF%20%28Price%20to%20Free%20Cash%20Flow%29%20and%20compare%20to%20others%20in%20its%20peer%20group%20in%20the%20unknown%20industry.%205%29%20Check%20Insider%20Sales%20or%20Purchases%3A%20are%20insiders%20buying%20or%20selling%3F%206%29%20Check%20EV/Sales%20ratio%20and%20compare%20to%20Price%20to%20Sales%20ratio%20%280%29%20to%20see%20if%20massively%20different%2C%20which%20could%20indicate%20high%20debt.,https://stockanalysis.com/stocks/AAPL/revenue,4.16,-4.16
