Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
DELL,Dell Technologies Inc.,Technology,Computer Hardware,computer-hardware,281052545024,2.1,0.946,0.612,87.5,19.21,34.6,20.23,0.21,0,0.58,282.5,6.279999999999999,4.29,-240.32,18
MU,"Micron Technology, Inc.",Technology,Semiconductors,semiconductors,1106014765056,12.25,3.425,2.927,345.7,72.57000000000001,22.42,6.54,-8.26,0,0.05,1368.5,55.910000000000004,2.81,15.76,18
NVDA,NVIDIA Corporation,Technology,Semiconductors,semiconductors,5109662089216,20.16,3.441,2.139,85.2,74.14,32.26,16.49,0.77,0,0.49,214.5,62.970000000000006,1.3299999999999998,76.33,18
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,internet-content-information,1698738339840,7.9,2.348,2.11,33.1,81.94,24.33,18.42,0.95,0,0.31,62.4,32.84,1.5699999999999998,27.83,16
SNDK,Sandisk Corporation,Technology,Computer Hardware,computer-hardware,283728150528,21.52,4.782,3.432,250.99999999999997,56.04,65.37,9.37,-14.29,0,0.0,0.0,34.18,7.59,-17.81,16
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,drug-manufacturers-general,1059905929216,14.67,1.497,0.721,55.50000000000001,82.83,42.19,26.52,1.12,0,0.57,169.9,34.99,1.05,77.78,16
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,semiconductors,2251500027904,0.55,2.488,2.187,35.099999999999994,61.870000000000005,37.75,21.4,0.14,0,0.87,58.4,46.5,0.5700000000000001,31.7,16
ORCL,Oracle Corporation,Technology,Software - Infrastructure,software-infrastructure,405109440512,6.01,1.115,1.012,20.599999999999998,65.82000000000001,24.08,12.88,1.63,0,1.39,21.9,25.369999999999997,2.44,45.5,14
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,capital-markets,311285940224,5.06,1.5,1.349,14.499999999999998,82.27,19.3,15.73,0.77,0,1.71,24.2,29.360000000000003,2.21,15.64,14
TM,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,auto-manufacturers,208935354368,0.0,1.274,1.016,1.9,16.71,9.67,11.18,0.0,0,3.59,23.200000000000003,7.59,0.09,9.64,14
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,207495380992,3.84,1.649,1.232,10.8,83.08,19.83,16.03,0.58,0,3.26,27.500000000000004,18.970000000000002,0.7100000000000001,19.51,14
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,software-infrastructure,303955181568,58.18,6.907,6.82,84.7,84.07,142.46,60.54,1.42,0,0.0,325.0,43.669999999999995,4.07,22.0,14
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,telecom-services,203032412160,2.24,1.087,0.704,10.6,63.28,19.92,13.37,0.74,0,2.17,-12.0,11.65,4.109999999999999,18.57,14
