Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
FRO,Frontline plc,Energy,Oil & Gas Midstream,oil-gas-midstream,8141319168,3.62,2.034,1.0,66.9,55.83,9.01,12.05,0.53,0,4.74,1579.7,40.19,4.3999999999999995,15.09,22
RDN,Radian Group Inc.,Financial Services,Insurance - Specialty,insurance-specialty,4749874176,3.47,1.571,0.622,58.8,82.48,8.33,6.51,0.25,0,2.81,-9.0,41.02,3.82,12.19,22
MRP,"Millrose Properties, Inc.",Real Estate,REIT - Residential,reit-residential,4594546176,6.45,66.463,0.343,135.7,85.44,9.92,8.57,-0.34,0,11.0,89.7,64.96,3.65,6.49,22
CEPU,Central Puerto S.A.,Utilities,Utilities - Regulated Electric,utilities-regulated-electric,2168801024,0.0,1.005,0.611,53.800000000000004,36.059999999999995,6.73,8.91,0.0,0,0.0,114.19999999999999,36.67,0.37,13.58,22
RITM,Rithm Capital Corp.,Real Estate,REIT - Mortgage,reit-mortgage,5175502848,1.22,0.995,0.337,64.60000000000001,100.0,8.5,3.9,0.0,0,10.8,72.2,17.0,5.42,9.68,22
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,auto-parts,9462166528,2.59,1.846,0.965,83.6,42.58,17.74,10.19,0.24,0,1.06,-40.400000000000006,14.879999999999999,4.32,33.37,20
PLMR,"Palomar Holdings, Inc.",Financial Services,Insurance - Property & Casualty,insurance-property-casualty,3034958336,3.1,0.535,0.27,59.699999999999996,28.73,15.97,10.29,0.89,0,0.0,0.0,20.11,3.0300000000000002,20.91,20
VCTR,"Victory Capital Holdings, Inc.",Financial Services,Asset Management,asset-management,5492731904,3.73,1.79,1.668,76.7,56.279999999999994,19.74,11.44,0.38,0,2.33,38.5,25.790000000000003,7.7700000000000005,13.61,20
GPOR,Gulfport Energy Corporation,Energy,Oil & Gas E&P,oil-gas-e-p,3095090944,2.19,0.559,0.352,32.300000000000004,69.31,5.66,5.63,0.46,0,0.0,0.0,42.089999999999996,5.08,23.32,20
VIST,"Vista Energy, S.A.B. de C.V.",Energy,Oil & Gas E&P,oil-gas-e-p,8281284608,2.85,0.769,0.759,97.3,81.23,10.83,6.94,0.01,0,0.0,19.0,25.650000000000002,3.0300000000000002,28.63,20
EGO,Eldorado Gold Corporation,Basic Materials,Gold,gold,8459601920,4.24,1.625,1.176,49.9,62.839999999999996,11.35,5.45,0.79,0,0.96,97.89999999999999,28.62,0.0,11.85,20
