date,symbol,epsActual,epsEstimated,revenueActual,revenueEstimated,Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,pegRatio,score
2026-07-31,CVX,6.06,5.55,70055000000.0,62720790000,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,oil-gas-integrated,384876249088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-31,XOM,3.52,3.56,104672000000.0,109937000000,XOM,unknown,Energy,Oil & Gas Integrated,oil-gas-integrated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-31,MRNA,-1.97,-2.03,145000000.0,102928400,MRNA,"Moderna, Inc.",Healthcare,Biotechnology,biotechnology,22866792448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-31,ABBV,3.65,3.64,,16780890000,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,drug-manufacturers-general,445002088448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-30,RBLX,-0.26,-0.34376,1557000000.0,1599692000,RBLX,Roblox Corporation,Communication Services,Electronic Gaming & Multimedia,electronic-gaming-multimedia,24894580736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-30,AMZN,5.75,1.82,200606000000.0,197034800000,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,internet-retail,2909367697408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-30,AAPL,2.02,1.89,109417000000.0,109038900000,AAPL,Apple Inc.,Technology,Consumer Electronics,consumer-electronics,4432497475584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-30,SONY,0.36,0.2831,17811210000.0,17165570000,SONY,Sony Group Corporation,Technology,Consumer Electronics,consumer-electronics,133422325760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-30,RIVN,-0.47,-0.66151,1658000000.0,1518924000,RIVN,"Rivian Automotive, Inc.",Consumer Cyclical,Auto Manufacturers,auto-manufacturers,23208554496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-30,SIRI,0.7,0.781,2160000000.0,2137934000,SIRI,Sirius XM Holdings Inc.,Communication Services,Entertainment,entertainment,10118795264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-30,COIN,-1.36,-0.44376,1220068000.0,1292322000,COIN,"Coinbase Global, Inc.",Financial Services,Financial Data & Stock Exchanges,financial-data-stock-exchanges,37519450112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-29,MGM,0.59,0.559,4450993000.0,4416319000,MGM,unknown,Consumer Cyclical,Resorts & Casinos,resorts-casinos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-29,HOOD,0.62,0.44,1308000000.0,1286601000,HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,capital-markets,76877987840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-29,META,6.18,7.19,60801000000.0,60223640000,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,internet-content-information,1385665003520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-29,MSFT,4.74,4.24,90007000000.0,87619550000,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,software-infrastructure,3409661919232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-29,SBUX,0.85,0.66,9322700000.0,9174497000,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,restaurants,122025598976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-29,SOFI,0.12,0.11,1205550000.0,1114878000,SOFI,"SoFi Technologies, Inc.",Financial Services,Credit Services,credit-services,20664352768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-28,BA,-0.76,-0.34,24560000000.0,24263700000,BA,The Boeing Company,Industrials,Aerospace & Defense,aerospace-defense,170320789504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-28,KO,0.97,0.932,13373000000.0,13170960000,KO,unknown,Consumer Defensive,Beverages - Non-Alcoholic,beverages-non-alcoholic,376214880256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-28,PYPL,1.38,1.28,8682000000.0,8473401000,PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,credit-services,49073512448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-28,F,0.42,0.33,48300000000.0,47237900000,F,unknown,Consumer Cyclical,Auto Manufacturers,auto-manufacturers,57959702528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-28,TLRY,-0.43,-0.01204,281714000.0,246297200,TLRY,"Tilray Brands, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,568649984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-07-28,V,3.32,3.23,11633000000.0,11400780000,V,unknown,Financial Services,Credit Services,credit-services,680324038656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
