Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
TOYO,"TOYO Co., Ltd.",Technology,Solar,solar,247983488,0.48,0.681,0.237,177.0,26.86,2.98,1.43,-0.27,0,0.0,0.0,13.750000000000002,5.2,35.65,24
INR,"Infinity Natural Resources, Inc.",Energy,Oil & Gas E&P,oil-gas-e-p,249865168,0.59,0.873,0.778,81.8,78.4,4.63,3.17,0.02,0,0.0,0.0,10.92,16.009999999999998,7.73,24
ASA,unknown,Financial Services,Asset Management,asset-management,0,0.0,1.05,1.005,243.00000000000003,100.0,1.5,0.0,0.0,0,0.15,1.0999999999999999,10508.0,0.05,60.38,24
SSSS,Neostellar Capital Corp.,,,,326920416,170.34,26.889,26.879,46.7,100.0,1.79,-22.59,0.0,0,0.0,0.0,10694.8,0.0,23.77,24
WDH,Waterdrop Inc.,Financial Services,Insurance - Diversified,insurance-diversified,359301952,0.08,1.948,1.452,64.8,53.97,4.55,6.08,0.01,0,6.0,-8.5,12.520000000000001,0.11,11.04,24
XNET,Xunlei Limited,Technology,Software - Infrastructure,software-infrastructure,325589088,0.66,2.112,2.04,53.900000000000006,48.13,0.38,0.0,0.16,0,0.0,0.0,176.72,4.3,76.32,24
RILYP,"BRC Group Holdings, Inc.",Financial Services,Financial Conglomerates,financial-conglomerates,0,0.0,4.178,3.901,113.39999999999999,22.7,2.25,0.0,0.0,0,0.0,0.0,50.77,0.0,-179.22,24
LUXE,LuxExperience B.V.,Consumer Cyclical,Luxury Goods,luxury-goods,1113177856,0.46,2.325,0.588,155.0,46.56,1.38,-96.26,-0.13,0,0.0,0.0,18.990000000000002,0.0,,24
BHFAO,"Brighthouse Financial, Inc.",Financial Services,Insurance - Life,insurance-life,0,0.0,6.402,1.412,88.6,35.43,1.13,0.0,0.0,0,11.81,1517.5,12.16,0.0,6.4,24
BHFAN,"Brighthouse Financial, Inc.",Financial Services,Insurance - Life,insurance-life,0,0.0,6.402,1.412,88.6,35.43,0.91,0.0,0.0,0,11.8,1517.5,12.16,0.0,6.4,24
RILY,"BRC Group Holdings, Inc.",Financial Services,Financial Conglomerates,financial-conglomerates,291411552,0.28,4.178,3.901,113.39999999999999,22.7,0.59,0.0,-0.03,0,0.0,0.0,50.77,16.81,-179.22,24
BHFAM,"Brighthouse Financial, Inc.",Financial Services,Insurance - Life,insurance-life,0,0.0,6.402,1.412,88.6,35.43,0.8,0.0,0.0,0,11.57,1517.5,12.16,0.0,6.4,24
RILYL,"BRC Group Holdings, Inc.",Financial Services,Financial Conglomerates,financial-conglomerates,0,0.0,4.178,3.901,113.39999999999999,22.7,2.31,0.0,0.0,0,0.0,0.0,50.77,0.0,-179.22,24
BHFAP,"Brighthouse Financial, Inc.",Financial Services,Insurance - Life,insurance-life,0,0.0,6.402,1.412,88.6,35.43,1.1,0.0,0.0,0,11.88,1517.5,12.16,0.0,6.4,24
ATLCP,Atlanticus Holdings Corporation,Financial Services,Credit Services,credit-services,0,0.0,14.669,14.219,60.8,72.39,3.18,0.0,0.0,0,7.78,50.2,21.44,0.0,20.08,24
CRMD,CorMedix Inc.,Healthcare,Biotechnology,biotechnology,586427840,1.47,2.975,2.585,226.10000000000002,91.86,3.44,21.36,-0.15,0,0.0,42.8,45.25,19.830000000000002,40.23,24
ASC,Ardmore Shipping Corporation,Industrials,Marine Shipping,marine-shipping,683451776,1.86,5.448,4.526,61.3,45.26,6.51,10.2,0.39,0,8.05,572.7,29.67,6.16,6.47,22
SD,"SandRidge Energy, Inc.",Energy,Oil & Gas E&P,oil-gas-e-p,502900544,2.79,2.624,2.421,48.0,69.5,6.52,9.14,0.44,0,3.87,35.8,46.06,5.58,13.74,22
REPX,"Riley Exploration Permian, Inc.",Energy,Oil & Gas E&P,oil-gas-e-p,744171008,1.54,0.45,0.387,94.19999999999999,70.96000000000001,6.11,4.17,0.03,0,4.7,185.4,24.529999999999998,4.09,25.36,22
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Midstream,oil-gas-midstream,1938483328,3.35,3.256,2.428,124.0,72.92,5.83,10.57,-0.22,0,7.55,1263.5,55.60000000000001,7.249999999999999,17.0,22
FUBO,FuboTV Inc.,Communication Services,Broadcasting,broadcasting,272943648,0.05,1.005,0.948,38.0,5.9799999999999995,2.41,19.64,0.03,0,0.0,0.0,-0.96,22.66,-87.72,22
ADAM,"Adamas Trust, Inc.",Real Estate,REIT - Mortgage,reit-mortgage,883527296,2.31,0.844,0.818,129.8,78.67,5.85,8.01,-0.15,0,10.08,0.0,52.959999999999994,4.01,16.81,22
YB,Yuanbao Inc.,Technology,Software - Application,software-application,644201152,0.14,3.484,3.448,35.6,96.39,3.32,2.82,0.0,0,9.22,24.4,29.67,0.06999999999999999,39.07,22
ZVRA,"Zevra Therapeutics, Inc.",Healthcare,Biotechnology,biotechnology,676381248,4.97,5.167,5.018,53.300000000000004,95.46,5.02,10.67,0.11,0,0.0,-88.7,42.82,13.34,53.82,22
