date,symbol,epsActual,epsEstimated,revenueActual,revenueEstimated
2026-08-04,LCID,,-2.3,,393048900
2026-08-04,PINS,,0.3568,,1148293000
2026-08-04,PFE,,0.68,,14399430000
2026-08-04,AMD,,1.61,,11309650000
2026-08-04,ET,,0.3798,,27711960000
2026-08-03,SNAP,-0.1,-0.12242,1598993000.0,1538518000
2026-08-03,PLTR,0.41,0.3446,1935464000.0,1812280000
2026-07-31,MRNA,-1.97,-2.03,145000000.0,102928400
2026-07-31,XOM,3.52,3.56,116017000000.0,109937000000
2026-07-31,CVX,6.06,5.55,70055000000.0,62720790000
2026-07-31,ABBV,3.65,3.61,16990000000.0,16804130000
2026-07-30,AAPL,2.02,1.89,109417000000.0,109038900000
2026-07-30,SONY,0.36,0.2831,17822390000.0,17165570000
2026-07-30,COIN,-1.36,-0.44376,1220068000.0,1292322000
2026-07-30,SIRI,0.7,0.781,2160000000.0,2137934000
2026-07-30,RIVN,-0.47,-0.66295,1658000000.0,1518924000
2026-07-30,RBLX,-0.26,-0.34376,1557000000.0,1599692000
2026-07-30,AMZN,5.75,1.82,200606000000.0,197034800000
2026-07-29,MGM,0.59,0.559,4450993000.0,4416319000
2026-07-29,SOFI,0.12,0.11,1205550000.0,1114878000
2026-07-29,MSFT,4.74,4.24,90007000000.0,87619550000
2026-07-29,META,6.18,7.19,60801000000.0,60223640000
2026-07-29,HOOD,0.62,0.44,1308000000.0,1286601000
2026-07-29,SBUX,0.85,0.66,9322700000.0,9174497000
2026-07-28,BA,-0.76,-0.34,24560000000.0,24263700000
2026-07-28,CARR,0.86,0.817,6351000000.0,6018040000
2026-07-28,TLRY,-0.43,-0.01204,281714000.0,246297200
2026-07-28,PYPL,1.38,1.28,8682000000.0,8473401000
2026-07-28,V,3.32,3.23,11633000000.0,11400780000
2026-07-28,F,0.42,0.33,48300000000.0,47237900000
2026-07-28,KO,0.97,0.932,13373000000.0,13170960000
2026-07-24,VZ,1.3,1.27,34253000000.0,35162020000
2026-07-24,HCA,7.59,7.56,20230000000.0,19756770000
2026-07-23,NOK,0.08,0.07,5475137000.0,5567637000
2026-07-23,INTC,0.42,0.21,16128000000.0,14434850000
2026-07-23,AAL,0.15,0.03,16735000000.0,16700550000
2026-07-23,LMT,7.94,7.22,20063000000.0,19339120000
2026-07-22,TSLA,0.33,0.5,28236000000.0,26423380000
2026-07-22,GOOGL,9.11,2.87,119796000000.0,116532500000
2026-07-22,T,0.65,0.59,31558000000.0,31795050000
2026-07-21,GM,3.57,3.19,48026000000.0,47011490000
