Ticker,Company,Share/ Par,% TNA,Class of shares,CUSIP,Market value
"STX","Seagate Technology Holdings PLC","439,357.00","0.29%","Common Stock","G7997R103","$254,774,337.16"
"ON","ON Semiconductor Corp","2,862,924.00","0.29%","Common Stock","682189105","$254,771,606.76"
"SNDK","Sandisk Corp/DE","258,579.00","0.29%","Common Stock","80004C200","$253,166,941.53"
"AMD","Advanced Micro Devices Inc","828,093.00","0.29%","Common Stock","007903107","$251,293,101.78"
"CIEN","Ciena Corp","498,571.00","0.28%","Common Stock","171779309","$248,771,971.87"
"DELL","Dell Technologies Inc","1,150,785.00","0.28%","Common Stock","24703L202","$247,016,000.25"
"WDC","Western Digital Corp","630,705.00","0.28%","Common Stock","958102105","$245,407,315.50"
"MPWR","Monolithic Power Systems Inc","158,210.00","0.27%","Common Stock","609839105","$240,801,948.40"
"COHR","Coherent Corp","674,444.00","0.27%","Common Stock","19247G107","$236,372,388.68"
"INTC","Intel Corp","3,532,287.00","0.26%","Common Stock","458140100","$230,552,372.49"
"CVNA","Carvana Co","547,923.00","0.26%","Common Stock","146869102","$228,368,827.17"
"HPE","Hewlett Packard Enterprise Co","7,908,325.00","0.26%","Common Stock","42824C109","$225,466,345.75"
"GEV","GE Vernova Inc","199,904.00","0.26%","Common Stock","36828A101","$225,403,754.24"
"JBL","Jabil Inc","663,902.00","0.25%","Common Stock","466313103","$223,336,632.80"
"LITE","Lumentum Holdings Inc","252,302.00","0.25%","Common Stock","55024U109","$220,411,027.20"
"ANET","Arista Networks Inc","1,226,242.00","0.25%","Common Stock","040413205","$217,939,990.66"
"GLW","Corning Inc","1,287,366.00","0.25%","Common Stock","219350105","$217,255,886.16"
"HUM","Humana Inc","991,408.00","0.25%","Common Stock","444859102","$215,532,099.20"
"TER","Teradyne Inc","561,232.00","0.25%","Common Stock","880770102","$216,175,341.76"
"MCHP","Microchip Technology Inc","2,576,336.00","0.24%","Common Stock","595017104","$212,496,193.28"
"NUE","Nucor Corp","986,348.00","0.24%","Common Stock","670346105","$211,334,922.48"
"UNH","UnitedHealth Group Inc","594,600.00","0.24%","Common Stock","91324P102","$210,202,992"
"AVGO","Broadcom Inc","496,770.00","0.24%","Common Stock","11135F101","$209,959,840.50"
"KLAC","KLA Corp","115,646.00","0.24%","Common Stock","482480100","$209,557,490.76"
"STLD","Steel Dynamics Inc","920,287.00","0.24%","Common Stock","858119100","$209,328,481.02"
"FIX","Comfort Systems USA Inc","120,416.00","0.24%","Common Stock","199908104","$207,656,187.84"
"APO","Apollo Global Management Inc","1,597,422.00","0.24%","Common Stock","03769M106","$206,163,283.32"
"KKR","KKR & Co Inc","1,944,843.00","0.23%","Common Stock","48251W104","$205,997,770.56"
"LRCX","Lam Research Corp","774,316.00","0.23%","Common Stock","512807306","$205,619,613.80"
"BX","Blackstone Inc","1,580,431.00","0.23%","Common Stock","09260D107","$205,029,313.63"
"STT","State Street Corp","1,344,983.00","0.23%","Common Stock","857477103","$204,975,409.20"
"SYF","Synchrony Financial","2,598,687.00","0.23%","Common Stock","87165B103","$204,490,680.03"
"AMZN","Amazon.com Inc","797,401.00","0.23%","Common Stock","023135106","$203,624,319.36"
"MS","Morgan Stanley","1,064,313.00","0.23%","Common Stock","617446448","$203,336,998.65"
"CDW","CDW Corp/DE","1,426,568.00","0.23%","Common Stock","12514G108","$203,200,345.92"
"Q","Qnity Electronics Inc","1,457,496.00","0.23%","Common Stock","74743L100","$202,956,318"
"EME","EMCOR Group Inc","235,710.00","0.23%","Common Stock","29084Q100","$202,710,600"
"ADI","Analog Devices Inc","531,332.00","0.23%","Common Stock","032654105","$202,660,651.44"
"KEYS","Keysight Technologies Inc","596,669.00","0.23%","Common Stock","49338L103","$202,252,890.93"
"NTRS","Northern Trust Corp","1,202,767.00","0.23%","Common Stock","665859104","$201,860,385.61"
